QueryText,KccAns
FARMER ASKED QUERY ON BLACK THRIPS MANAGEMENT IN CHILLI,"RECOMMENDED TO SPARY BEAUVERIA BASSIANA- 5 ML/1 LITER OF WATER
ఎకరానికి 1 లీటరు బావేరియా బస్సియానా పిచికారీ చేయడానికి సిఫార్సు చేయబడింది
"
FARMER ASKED QUERY ON LEAF ROLLER MANAGEMENT IN PADDY,"RECOMMENDED TO SPRAY FLUBENDIAMIDE  (FAME) 40 ML /200 LITRES OF WATER / ACRE  
ఫ్లూబెండమైడ్   40 మిల్లి లీటర్లు   /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
Farmer asked query on FUSARIUM WILT Disease management in TOMATO,"RECOMMENDED TO SPRAY COPPER OXY CHLORIDE (BLITOX) (BLUE COPPER) 600 GRAMS/200 LITRES OF WATER / ACRE  
   కాపర్ ఆక్సీక్లోరైడ్  600 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి .(3GR/1LIT OF WATER)
"
FARMER ASKED QUERY ON TOBACCO CATERPILLAR MANAGEMENT IN TOMATO,"RECOMMENDED TO SPRAY    NOVALURAN  (REMON) 300 ML /200 LITRES OF WATER / ACRE  
నొవాల్యురాన్  300 మిల్లి లీటర్లు   / 300 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి"
    Farmer asked query on sucking pest management in COTTON,"
RECOMMENDED TO SPRAY  BETA CYFLUTHRIN+IMIDACLOPRID    (BAYER -SOLOMAN) 400 ML / 200 LITRES OF WATER /ACRE 
"
Farmer asked query on Weather,"
DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు


"
farmer asked query on sucking pest management in chilli ?,"RECOMMENDED TO SPRAY DIMETHOATE (ROGER)  400 ML /200 LITRES OF WATER /ACRE 
 డైమిథోయేట్  400 మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి "
"FARMER ASKED QUERY ON NUTRIENT MANAGEMENT IN CHILLI CROP
","RECOMMENDED TO SPRAY NAPHTHALENE ACETIC ACID (PLANOFIX) 50 ML/ 200 LITRES OF WATER 1 ml/ 4.5 liter of water /ACRE   పూత పిందె రాలకుండా -నాప్తలీన్ అసిటిక్ ఆసిడ్(ప్లానోఫిక్స్ ) 50 మిల్లి లీటర్లు  200 లీటర్ల నీటికి చొప్పున కలిపి 1 ఎకరా కు పిచికారి చేయాలి 
"
Farmer asked query on Weather,"THERE IS A CHANCE OF DRY WEATHER IN YOUR AREA
మీ ప్రాంతం లో వాతావరణం పొడిగా ఉంటుంది 
"
Farmer asked query on Weather,"
TODAY THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA BUT NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది కానీ జల్లులు పడే అవకాశం లేదు
"
Farmer asked query on Weather,"THERE IS A CHANCE OF DRY WEATHER IN YOUR AREA
మీ ప్రాంతం లో వాతావరణం పొడిగా ఉంటుంది 
"
   FARMER ASKED QUERY ON SUCKING PEST MANAGEMENT CHILLIES,RECOMMENDED TO SPRAY  FIPRONIL  +IMIDACLOPRID (POLICE) 100 GRAMS/200 LITRES OF WATER /ACRE  
   FARMER ASKED QUERY ON MITE  MANAGEMENT IN CHILLIES,"RECOMMENDED TO SPRAY DIFENTHIURON (PEGASUS) 240 GM /150 LITRES OF WATER /ACRE 
డిఫెంతియూరోన్ 240 గ్రాములు /150 లీటరు నీటికి కలిపి ఎకరానికి పిచికారీ చేయాలి 
"
FARMER ASKED QUERY ABOUT ROOT ROT MANAGEMENT IN CHILLI,"RECOMENDED TO SPRAY COPPER OXY CHLORIDE 600 GR +STREPTOCYCLINE 20 GR  PER ACRE WITH  200 LIT WATER
"
Farmer asked query on Weather,"THERE IS A CHANCE OF CLOUDY SHOWERS IN YOUR AREA  
 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు  పడే అవకాశం ఉంది.
"
"FARMER ASKED QUERY ABOUT PM KISAN SAMMAN NIDHI YOJANA STATUS 
",#NAME?
FARMER ASKED QUERY ABOUT KISAN CREDIT CARD SCHEME,#NAME?
Farmer asked query on Weather,"మీ ప్రాంతం లో మబ్బులు పాటి వర్షం పడే అవకాశం ఉంటుంది.
CLOUDY  WEATHER IN YOUR AREA AND  CHANCE OF RAIN
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
CHILLI THRIPS & MITES MANAGEMENT ,"డిఫెంతియూరోన్ 240 గ్రాములు /150 లీటరు నీటికి కలిపి ఎకరానికి పిచికారీ చేయాలి 
"
FARMER ASKED QUERY ABOUT PIPELINE SUBSIDY PROCESS AND PAYMENT,RECOMMENDED TO MANDAL AGRICULTURAL OFFICER FOR  FURTHER DETAILS.
FARMER ASKED QUERY ON DOSAGE OF BASF Exponus Broflanilide IN CHILLI,RECOMMENDED TO SPRAY BASF Exponus Broflanilide@ 17 ML /ACRE
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
Farmer asked query on Weather,"WEATHER REPORT:
మీ ప్రాంతం లో మబ్బులు పాటి వర్షం పడే అవకాశం ఉంటుంది.
CLOUDY  WEATHER IN YOUR AREA AND  CHANCE OF RAIN
"
Farmer asked query on Weather," DRY WEATHER, NO CHANCE OF RAINFALL IN YOUR AREA 
 మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది , వర్షం  పడే అవకాశం లేదు 
"
FARMER ASKED QUERY ON FERTILIZER MANAGEMENT IN SUGARCANE ,"RECOMMENDED TO APPLY UREA 45 KGS/ACRE , MOP 24 KGS/ACRE "
Farmer asked query on Weather,"మీ ప్రాంతం లో వాతావరణం పొడిగా ఉంటుంది 
"
FARMER ASKED QUERY ON PHOSPHOROUS CONTENT IN SSP ,"RECOMMENDED SSP CONTAINS PHOSPHOROUS 16 %, CALCIUM 21%, SULPHUR 12%"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు

"
farmer asked about nutrient management in chilli ?,"RECOMMENDED TO SPRAY NPK 19-19-19 MIXTURE  5 GRAMS/1 LITRE OF WATER 
స్ప్రే  NPK 19-19-19 @ 5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి 
RECOMMENDED TO SPRAY FORMULA-4 - 3 GRAM  / 1 LITER OF WATER , (600 GRAMS/200 LITER OF WATER/ ACRE)
 ఫార్ములా -4 600 గ్రాములు  / 200 లీటరు నీటికి కలిపి పిచికారీ చేయండి   
"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు

"
"FARMER ASKED QUERY ABOUT PM KISAN SAMMAN NIDHI YOJANA STATUS 
",Account detail is under revalidation process with bank
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది


"
"FARMER ASKED QUERY ON BPH  MANAGEMENT IN RICE
","RECOMMENDED TO SPRAY  TRIFLUMEZOPYRIM   (PEXALON) 94 ML /200 LITRES OF WATER/ ACRE       
TRIFLUMEZOPYRIM  94  ML  / 200 లీటర్ల నీటికి చొప్పున కలిపిఒక ఎకరాకు పిచికారి చేయాలి 
"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
Farmer asked query on Weather," DRY WEATHER, NO CHANCE OF RAINFALL IN YOUR AREA 
 మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది , వర్షం  పడే అవకాశం లేదు 
"
Farmer asked query on Weather,"
WEATHER REPORT :  THERE IS CHANCE OF DRY WEATHER  IN YOUR AREA మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది

"
FARMER ASKD QUERY  WESTERN BLACK THRIPS  IN CHILLIES,RECOMMENDED TO SPRAY Beauveria bassiana 1 LITRE /ACRE
FARMER ASKED QUERY ABOUT TCGS 1694 GROUNDNUT VARIETY ,"Recommended tcgs 1694 groundnut variety crop duration 105 to 110 days in Kharif, the yield per hectare in Kharif is -33 to35 quintals and in Rabi it is -42 to 45 quintals."
 FARMER ASKED QUERY ON MITE MANAGEMENT IN CHILLIES,"RECOMMENDED TO SPRAY DIFENTHIURON(PEGASUS) 240 GM /150 LITRES OF WATER /ACRE 
డిఫెంతియూరోన్ 240 గ్రాములు /150 లీటరు నీటికి కలిపి ఎకరానికి పిచికారీ చేయాలి 
RECOMMENDED TO SPRAY  PROPARGITE   (OMITE/SIMBA) 200 ML /200 LITRES OF WATER / ACRE  
ప్రాపర్గైట్  200  మిల్లి లీటర్లు  /200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
"
Farmer asked price detail of Groundnut in Adoni mandi.,"State	APMC's	Commodity	Price in Rs.	Commodity Arrivals	Commodity Traded	Unit	Date
Min Price	Modal Price	Max Price
ANDHRA PRADESH	ADONI	GROUND NUT	3,367	4,410	7,050	320	529	Qui	05-11-2022"
farmer asked about mite management in Mosambi ?,"RECOMMENDED TO SPRAY  SPIROMESIFEN  (OBERON) 200 ML/200 LITRES OF WATER /ACRE 
స్పైరోమైసిఫెన్ 200 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి "
FARMER ASKED QUERY ON VARIETES OF GROUNDNUT,"RECOMMENDED GROUNDNUT VARIETIES ARE KADIRI 6 , KADIRI LEAKSHI , KADIRI HARITHANDHRA"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
farmer asked about market information regarding chilli ?,"APMC's	  Commodity      Min Price	Modal Price	Max Price   Unit	Date
GUNTUR  CHILLI-TEJA	    9,300            22,000	         30,000	    Qui	05-11-2022
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది
"
FARMER ASKED QUERY ON SPACING OF CARROT,30/5 CM
Farmer asked price detail of Cotton in Adoni mandi.,"06/11/2022
Mandi  : Adoni
Commodity : Cotton
(Modal Price): 8888/Quintal"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది 
"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
Farmer asked query on Weather,"THERE IS A CHANCE OF DRY WEATHER IN YOUR AREA
మీ ప్రాంతం లో వాతావరణం పొడిగా ఉంటుంది 
"
"FARMER ASKED QUERY ON blast  MANAGEMENT IN RICE
","RECOMMENDED TO SPRAY KASUGAMYCIN    (KASU-B) 500 ML /200 LITRES OF WATER / ACRE  
 కాసుగమైసిన్  500 మిల్లి లీటర్లు  /200 లీటర్ల నీటికి చొప్పున కలిపి  ఎకరాకు పిచికారి చేయాలి
"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది 
"
INCOMPLETE CALL,PLEASE CALL BACK
farmer asked about sowing time of groundnut ?,recommended sowing time of groundnut is in the month of NOV to DEC- 15 as rabi crop 
FARMER ASKED QUERY ON FRUIT ROT MANAGEMENT IN TOMATO,"RECOMMENDED TO SPRAY   METIRAM+PYRACLOSTROBIN(CABRIO TOP) 600GRAMS /200 LITRES OF WATER /ACRE    
మెటిరామ్ + ఫైరక్లాస్ట్రోబిన్   600 గ్రాములు /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
Farmer asked query on Weather,"THERE IS A CHANCE OF DRY WEATHER IN YOUR AREA
మీ ప్రాంతం లో వాతావరణం పొడిగా ఉంటుంది 
"
Farmer asked price detail of Castor Seed in Adoni mandi.,"State	APMC's	Commodity	Price in Rs.	Commodity Arrivals	Commodity Traded	Unit	Date
Min Price	Modal Price	Max Price
ANDHRA PRADESH	ADONI	CASTOR SEED	4,456	6,060	6,223	400	793	Qui	04-11-2022"
farmer asked about panicle mite management in paddy ?,"RECOMMENDED TO SPRAY ABAMECTIN   (VERTIMEK) 160 ML /200 LITRES OF WATER / ACRE  
ఆబామెక్టిన్ 160 మిల్లి లీటర్లు  /200 లీటర్ల నీటికి చొప్పున కలిపి  ఎకరాకు పిచికారి చేయాలి  (or)
RECOMMENDED TO SPRAY  PROPARGITE   (OMITE/SIMBA) 200 ML /200 LITRES OF WATER / ACRE  
ప్రాపర్గైట్  200  మిల్లి లీటర్లు  /200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి

"
farmer asked about sowing time of onion?,recommended sowing time of onion is in the month of NOV-DEC as rabi crop
Farmer asked query on Weather,"
 DRY WEATHER, NO CHANCE OF RAINFALL IN YOUR AREA 
 మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది , వర్షం  పడే అవకాశం లేదు "
Farmer asked query on Weather,"THERE IS A CHANCE OF DRY WEATHER IN YOUR AREA
మీ ప్రాంతం లో వాతావరణం పొడిగా ఉంటుంది 
"
farmer asked about kisan parivar loan ?,please visit economictimes.indiatimes.com/company/kisan-parivar-agro-projects-private-limited/ once 
Farmer asked query on Weather,"మీ ప్రాంతం లో మబ్బులు పాటి వర్షం పడే అవకాశం ఉంటుంది.
CLOUDY  WEATHER IN YOUR AREA AND  CHANCE OF RAIN
"
Farmer asked query on Weather," మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు  పడే అవకాశం ఉంది 
"
Farmer asked query on Weather,"
DRY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం ఉంది
"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
FARMER ASKED QUERY ABOUT ON  CITRUS CANKER MANAGEMENT,RECOMMENDED TO SPRAY STREPTOCYCLINE 1 GM + COC ( BLITOX ) 30 GM / 10 LTRS OF WATER WITHIN  1WEEK - 20 DAYS 2 SPRAYS SHOULD BE DONE 
Farmer asked query on Weather,"DRY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం ఉంది
"
Farmer asked query on Weather,"THERE IS A CHANCE OF CLOUDY WEATHER AND RAINS IN YOUR AREA


THERE IS A CHANCE OF SHOWERS IN YOUR AREA 
 మీ ప్రాంతం లో వర్షం పడే అవకాశం ఉంది 
"
BEST VARIETIES OF BLACK GRAM ,"BEST VARIETIES OF BLACK GRAM  ; L B G - 752, P U - 31, L B G - 20, L B G - 623 , T-9, W B G -26"
BEST GROUNDNUT VARIETIES ,"BEST GROUNDNUT VARIETIES ; KADIRI 5, IPGS-11, JCG-88, TG-26, DRG-12, DRG-17-"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
Farmer asked query on Weather,"THERE IS A CHANCE OF CLOUDY SHOWERS IN YOUR AREA  
 మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు  పడే అవకాశం ఉంది 
"
Farmer asked query on Weather,"WEATHER REPORT :  THERE IS CHANCE OF DRY WEATHER  IN YOUR AREA మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది


"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది

"
FARMER ASKED ABOUT CHILLI SUCKING PEST  (THRIPS+ MITES) MANAGEMENT,"RECOMMENDED TO SPRAY SPIROMESIFEN (OBERON) 200ML /150 LITRES OF WATER /ACRE    స్పైరోమైసిఫెన్  200 మిల్లి లీటర్లు /150 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
"
Farmer asked query on Weather,"CLOUDY WEATHER IN YOUR AREA AND NO CHANCE OF RAIN
మీ ప్రాంత లో మాబులతో కూడుకున్న వాతావరణం ఉంటుంది కానీ వర్షం లేదు 
"
FARMER ASKED QUERY ON WEED MANAGEMENT IN BOTTLE GOURD,"RECOMMENDED TO SPRAY PENDIMETHALIN 30% (STAMP) 1 LITRE /200 LITRES OF WATER/ ACRE 
 పెండిమెథాలిన్(స్టాంప్)   1  లీటర్ /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
Farmer asked query on Weather,"CLOUDY WEATHER IN YOUR AREA AND NO CHANCE OF RAIN
మీ ప్రాంత లో మాబులతో కూడుకున్న వాతావరణం ఉంటుంది కానీ వర్షం లేదు 
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
FARMER ASKED QUERY ON TOLL FREE NUMBER OF VETERINARY,--RECOMMENDED VETERINARY TOLL FREE NUMBER : 18001204209
Farmer asked query on Weather,"WEATHER REPORT :  THERE IS CHANCE OF DRY WEATHER  IN YOUR AREA మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది

"
Farmer asked query on Weather,"
WEATHER REPORT
THERE IS A CHANCE OF CLOUDY WEATHER AND RAINS IN YOUR AREA
"
FARMER ASKED QUERY CHILLI CROP ( ROOT ROT MANAGEMENT ) ,RECOMMENDED TO DRENCH COPPER OXY CHLORIDE  3 GRAMS / 1 LITRE OF WATER 
farmer asked query about on black thrips management in chilli,recommended to spray BAZUVERIA BASSIANA 1 LTR / ACRE 
farmer asked query on root rot management in chilli?,"-RECOMMENDED TO DRENCH COPPER OXYCHLORIDE  (BLITOX) 3 GRAMS / 1 LITRE OF WATER  కాపర్ ఆక్సీక్లోరైడ్ 3 గ్రాములు / లీటర్ నీటిలో కలిపి మొక్క మొదల్ల దగ్గర పోయాలి 
"
Farmer asked query on Weather,"WEATHER REPORT 
 DRY WEATHER, NO CHANCE OF RAINFALL IN YOUR AREA 
 మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది , వర్షం  పడే అవకాశం లేదు 
"
farmer asked query on panicle mite management in paddy ?,"-RECOMMENDED TO SPRAY  SPIROMESIFEN  (OBERON) 200 ML/200 LITRES OF WATER /ACRE స్పైరోమైసిఫెన్ 200 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి 
"
farmer asked query on sheath blight  management in paddy ?,"RECOMMENDED TO SPRAY  HEXACONAZOLE  (CONTAF) 400 ML /200 LITRES OF WATER / ACRE  
హెక్సాకొనజోల్   400 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి"
farmer asked query about on which will be used in seed treatment in ground nut,recommended to treat ground nut seed for mancozeb 3gm/1 kg seed or rhizobium culture 200 gm/1 kg seed
   FARMER ASKED QUERY ON MITE MANAGEMENT  CHILLI,"RECOMMENDED TO SPRAY WETTABLE SULPHUR  (THIOVIT) 600 GRAMS/200 LITRES OF WATER / ACRE 
 నీటిలో కరిగే గంధకం పొడి    600 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
OR

 RECOMMENDED TO SPRAY  SPIROMESIFEN  (OBERON) 200 ML/200 LITRES OF WATER /ACRE స్పైరోమైసిఫెన్ 200 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి 
"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 

"
"FARMER ASKED QUERY ON  FLEA BEETLE IN  BLACKGRAM
"," RECOMMENDED TO SPRAY  CHLORPYRIFOS  (CORABAN/PREDATOR) 500 ML/200 LITRES OF WATER / ACRE
 క్లోరోఫైరిఫాస్   500 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి(20 EC - 500 ML / ACRE) ( 50 EC - 320 ML / ACRE)  +  వేప నూనె 5 మిల్లి లీటర్లు / 1  లీటర్ నీటికి  చొప్పున   కలిపి   పిచికారి చేయాలి  

"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
FARMER ASKEDQUERY ON MARKET INFORMATION OF COTTON ,"--                                                                     Min Price 	Modal Price	Max Price(RS/QUINTAL)
ANDHRA PRADESH	ADONI	COTTON	 4,951	  7,269	          9,416"
Farmer asked query on Weather,"WEATHER REPORT : THERE IS A CHANCE OF CLOUDY WEATHER, SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు పడే అవకాశం ఉంది

"
FARMER ASKED QUERY ABOUT HOW MUCH THAT PLANT TAKES TO ABSORB CHEMICAL AFTER SPRAYING.,--RECOMMENDED TO WAIT FOR 3-4 HOURS AFTER SPRAYING 
Farmer asked query on Weather,"	
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది . వర్షం పడే అవకాశం ఉంది. "
  FARMER ASKED QUERY ON VARIETIES OF PADDY,"RECOMMENDED TO  VARIETIES OF PADDY-SHORT DURATION(120-130 DAYS)
VIJETHA,MTU-1010,BPT-5204,NDLR-8,NLR-3444"
FARMER ASKED QUERY ABOUT PM KISAN SAMMAN NIDHI YOJANA .,"RECOMMENDED TO CONTACT MANDAL AGRICULTURAL OFFICER FOR FURTHER DETAILS
RECOMMENDED TO CONTACT-155261 FOR FURTHER DETAILS.."
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,  మీ ప్రాంతంలో వర్షం లేదు			"
Farmer asked query on Weather,"  CLOUDY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతంలో వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం కలదు
"
farmer asked query on sucking pest management in chilli ?,"-RECOMMENDED TO SPRAY  ACETAMIPRID + FIPRONIL(TIPHON) 400 ML / 200 LITRES OF WATER /ACRE 
 అసిటామిప్రైడ్  +ఫిప్రోనిల్ 400 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి.
-   RECOMMENDED TO SPRAY AZADIRHACHTIN 5 ML / 1 LITRE OF WATER 
  వేప నూనె 5 మిల్లి లీటర్లు / 1  లీటర్ నీటికి  చొప్పున   కలిపి   పిచికారి చేయాలి  "
FARMER ASKED QUERY ABOUT MITE MANAGEMENT IN CHILLI,"RECOMMENDED TO SPRAY SPIROMESIFEN (OBERON) 200ML /150 LITRES OF WATER /ACRE    స్పైరోమైసిఫెన్  200 RECOMMENDED TO SPRAY AZADIRHACHTIN (NEEM SEED KERNAL OIL )  1 LITRE  /200 LITRES OF WATER /ACRE 
 వేప నూనె 1 లీటర్ /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక  ఎకరాకు  పిచికారి చేయాలి మిల్లి లీటర్లు /150 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి"
FARMER ASKED QUERY ABOUT PM KISAN SAMMAN NIDHI YOJANA STATUS,#NAME?
Farmer asked query on Weather,"TODAY THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
Farmer asked query on Weather,"TODAY THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA BUT NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది కానీ జల్లులు పడే అవకాశం లేదు
"
FARMER ASKED QUERY ABOUT PM KISAN SAMMAN NIDHI YOJANA STATUS.,"RECOMMENDED TO CONTACT MANDAL AGRICULTURAL OFFICER FOR FURTHER DETAILS.
RECOMMENDED TO RAISE QUERY IN PM KISAN HELPDESK OPTION."
Farmer asked query on Weather,"CLOUDY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతంలో వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం కలదు
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం ఉంది
"
Farmer asked query on Weather," CLOUDY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతంలో వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం కలదు
"
